degree,field,gpa,experience,graduation_year,skills,target_role
MTech,AI/ML,8.35,5,2020,"ml,python",Data Scientist
MCA,HR,7.0,1,2024,"recruitment,communication",Business Analyst
BTech,ECE,8.22,1,2024,"embedded,c",Electrical Engineer
MBA,Civil,6.29,5,2020,"autocad,construction",Civil Engineer
BSc,ECE,6.51,4,2021,"signals,embedded",Electrical Engineer
BTech,EEE,7.34,6,2019,"power systems,circuits",Electrical Engineer
MCA,Data Science,6.59,4,2021,"python,ml",Software Engineer
MTech,HR,5.94,2,2023,"communication,recruitment",Business Analyst
MCA,CSE,9.56,6,2019,"python,sql",Software Engineer
MTech,Civil,8.46,6,2019,"autocad,construction",Civil Engineer
MTech,ECE,8.43,3,2022,"embedded,c",Electrical Engineer
BSc,Mechanical,7.02,5,2020,"solidworks,design",Mechanical Engineer
MBA,AI/ML,8.69,1,2024,"python,ml",Data Scientist
BTech,CSE,7.93,1,2024,"dsa,python",Web Developer
BTech,CSE,8.09,0,2025,"java,dsa",Software Engineer
MCA,ECE,8.19,0,2025,"c,signals",Electrical Engineer
MCA,EEE,8.9,0,2025,"circuits,power systems",Electrical Engineer
MCA,HR,9.09,0,2025,"recruitment,communication",Business Analyst
MCA,IT,8.09,3,2022,"css,js",Software Engineer
MCA,IT,5.52,3,2022,"js,css",Web Developer
MBA,CSE,7.8,2,2023,"python,java",Web Developer
MTech,EEE,5.62,3,2022,"circuits,power systems",Electrical Engineer
MCA,AI/ML,8.52,4,2021,"python,deep learning",Data Scientist
MBA,ECE,7.82,7,2018,"embedded,c",Electrical Engineer
BTech,IT,6.18,1,2024,"react,js",Web Developer
MTech,ECE,5.74,3,2022,"signals,c",Electrical Engineer
BSc,CSE,6.99,3,2022,"dsa,sql",Web Developer
MTech,Civil,7.39,2,2023,"autocad,construction",Civil Engineer
BSc,CSE,9.57,6,2019,"java,python",Software Engineer
MBA,CSE,6.6,5,2020,"dsa,sql",Web Developer
MCA,CSE,7.74,4,2021,"java,dsa",Web Developer
BSc,EEE,9.13,7,2018,"circuits,power systems",Electrical Engineer
MBA,EEE,6.22,3,2022,"power systems,circuits",Electrical Engineer
MBA,IT,5.97,0,2025,"react,html",Web Developer
MTech,IT,9.75,5,2020,"css,js",Software Engineer
MTech,IT,9.15,5,2020,"js,react",Software Engineer
MBA,Data Science,7.31,6,2019,"python,ml",Software Engineer
MCA,HR,8.27,1,2024,"communication,recruitment",Business Analyst
BTech,CSE,9.03,4,2021,"python,sql",Software Engineer
MTech,CSE,9.54,1,2024,"java,sql",Software Engineer
BTech,EEE,8.75,1,2024,"circuits,power systems",Electrical Engineer
BTech,Mechanical,7.11,1,2024,"solidworks,design",Mechanical Engineer
MCA,CSE,8.31,1,2024,"python,sql",Software Engineer
BTech,EEE,8.89,2,2023,"circuits,power systems",Electrical Engineer
MTech,ECE,7.79,7,2018,"signals,c",Electrical Engineer
MBA,IT,7.43,0,2025,"css,js",Web Developer
MTech,IT,9.73,4,2021,"html,css",Software Engineer
MBA,Data Science,7.07,0,2025,"sql,ml",Software Engineer
MCA,Civil,9.24,1,2024,"autocad,construction",Civil Engineer
MBA,HR,8.7,4,2021,"recruitment,communication",Business Analyst
BSc,EEE,9.33,0,2025,"circuits,power systems",Electrical Engineer
MBA,ECE,6.52,3,2022,"c,embedded",Electrical Engineer
BTech,ECE,7.99,7,2018,"c,embedded",Electrical Engineer
BSc,HR,9.72,7,2018,"recruitment,communication",Business Analyst
MTech,IT,9.7,6,2019,"js,react",Software Engineer
BSc,ECE,8.18,0,2025,"signals,c",Electrical Engineer
MCA,ECE,8.06,4,2021,"signals,c",Electrical Engineer
MBA,Data Science,7.47,1,2024,"statistics,python",Software Engineer
BSc,CSE,8.32,4,2021,"java,python",Software Engineer
MBA,Civil,7.3,2,2023,"autocad,construction",Civil Engineer
MBA,IT,5.68,1,2024,"html,js",Web Developer
BTech,CSE,6.19,0,2025,"java,python",Web Developer
MCA,Civil,6.15,0,2025,"autocad,construction",Civil Engineer
MCA,CSE,9.28,1,2024,"dsa,python",Software Engineer
BTech,Data Science,6.07,7,2018,"python,sql",Software Engineer
BSc,Mechanical,9.0,3,2022,"design,solidworks",Mechanical Engineer
MBA,HR,6.84,0,2025,"recruitment,communication",Business Analyst
MCA,IT,6.52,0,2025,"css,html",Web Developer
BSc,AI/ML,9.4,6,2019,"deep learning,python",Data Scientist
MBA,AI/ML,7.2,1,2024,"ml,python",Software Engineer
BTech,Mechanical,7.36,5,2020,"solidworks,design",Mechanical Engineer
MBA,Data Science,6.36,6,2019,"python,statistics",Software Engineer
BSc,AI/ML,6.21,5,2020,"python,deep learning",Software Engineer
MCA,IT,8.84,0,2025,"html,css",Software Engineer
BSc,HR,7.44,0,2025,"recruitment,communication",Business Analyst
MCA,Civil,6.98,4,2021,"autocad,construction",Civil Engineer
MCA,Civil,8.2,7,2018,"construction,autocad",Civil Engineer
BTech,AI/ML,6.96,5,2020,"deep learning,python",Software Engineer
BTech,Data Science,7.33,5,2020,"python,sql",Software Engineer
MCA,Data Science,6.09,1,2024,"ml,statistics",Software Engineer
BSc,HR,9.4,3,2022,"recruitment,communication",Business Analyst
BTech,Data Science,6.31,0,2025,"ml,python",Software Engineer
BSc,AI/ML,7.29,1,2024,"python,ml",Software Engineer
MBA,Data Science,7.0,4,2021,"python,sql",Software Engineer
MTech,Mechanical,7.4,3,2022,"design,solidworks",Mechanical Engineer
MTech,Data Science,7.84,4,2021,"sql,python",Data Scientist
MTech,HR,8.86,0,2025,"recruitment,communication",Business Analyst
BTech,CSE,5.85,1,2024,"python,sql",Web Developer
MCA,HR,8.68,2,2023,"recruitment,communication",Business Analyst
MTech,Civil,5.61,2,2023,"autocad,construction",Civil Engineer
MTech,IT,8.73,4,2021,"html,react",Software Engineer
MTech,Mechanical,8.7,0,2025,"solidworks,design",Mechanical Engineer
MBA,Mechanical,9.57,3,2022,"solidworks,design",Mechanical Engineer
MTech,HR,9.63,0,2025,"recruitment,communication",Business Analyst
MTech,ECE,8.7,7,2018,"signals,embedded",Electrical Engineer
MBA,IT,7.31,1,2024,"html,js",Web Developer
MCA,Mechanical,5.78,7,2018,"design,solidworks",Mechanical Engineer
BTech,Mechanical,6.94,2,2023,"solidworks,design",Mechanical Engineer
BTech,Data Science,9.24,5,2020,"ml,statistics",Data Scientist
MBA,EEE,9.32,2,2023,"power systems,circuits",Electrical Engineer
BTech,EEE,7.67,3,2022,"power systems,circuits",Electrical Engineer
BTech,Data Science,6.64,0,2025,"python,sql",Software Engineer
MBA,Mechanical,7.24,4,2021,"solidworks,design",Mechanical Engineer
MCA,Mechanical,7.05,1,2024,"solidworks,design",Mechanical Engineer
BSc,EEE,7.92,4,2021,"circuits,power systems",Electrical Engineer
BSc,IT,7.37,2,2023,"js,react",Web Developer
BSc,CSE,8.79,0,2025,"python,dsa",Software Engineer
MTech,Civil,8.23,7,2018,"autocad,construction",Civil Engineer
MCA,EEE,5.97,2,2023,"circuits,power systems",Electrical Engineer
BTech,AI/ML,7.34,6,2019,"deep learning,python",Software Engineer
BSc,CSE,8.85,1,2024,"python,dsa",Software Engineer
BTech,HR,6.36,0,2025,"communication,recruitment",Business Analyst
BSc,AI/ML,7.47,7,2018,"deep learning,ml",Software Engineer
MCA,Mechanical,9.11,3,2022,"solidworks,design",Mechanical Engineer
BTech,EEE,9.51,4,2021,"circuits,power systems",Electrical Engineer
MTech,CSE,8.41,1,2024,"dsa,sql",Software Engineer
MBA,EEE,6.12,3,2022,"circuits,power systems",Electrical Engineer
BSc,AI/ML,6.98,3,2022,"deep learning,ml",Software Engineer
MBA,HR,7.75,4,2021,"recruitment,communication",Business Analyst
MBA,Civil,8.92,1,2024,"autocad,construction",Civil Engineer
MBA,Civil,5.57,5,2020,"construction,autocad",Civil Engineer
MTech,CSE,7.34,2,2023,"sql,python",Web Developer
MTech,ECE,5.59,5,2020,"c,embedded",Electrical Engineer
MTech,Data Science,5.57,6,2019,"sql,statistics",Software Engineer
BSc,EEE,6.31,3,2022,"circuits,power systems",Electrical Engineer
MBA,Civil,8.78,5,2020,"autocad,construction",Civil Engineer
MBA,CSE,9.27,1,2024,"sql,python",Software Engineer
MTech,Civil,9.62,6,2019,"autocad,construction",Civil Engineer
MBA,IT,7.1,2,2023,"react,html",Web Developer
MTech,HR,5.53,5,2020,"recruitment,communication",Business Analyst
MBA,EEE,7.37,6,2019,"power systems,circuits",Electrical Engineer
MBA,AI/ML,8.39,6,2019,"deep learning,python",Data Scientist
MTech,EEE,9.04,3,2022,"circuits,power systems",Electrical Engineer
MBA,IT,7.83,7,2018,"html,react",Web Developer
MCA,Mechanical,7.97,6,2019,"design,solidworks",Mechanical Engineer
MCA,Civil,9.77,6,2019,"construction,autocad",Civil Engineer
BSc,CSE,9.22,2,2023,"dsa,sql",Software Engineer
BTech,ECE,6.59,6,2019,"signals,c",Electrical Engineer
MTech,HR,9.77,0,2025,"communication,recruitment",Business Analyst
MCA,Data Science,8.39,7,2018,"statistics,ml",Data Scientist
BTech,EEE,7.58,4,2021,"circuits,power systems",Electrical Engineer
BTech,EEE,5.55,4,2021,"power systems,circuits",Electrical Engineer
MCA,IT,6.87,7,2018,"js,css",Web Developer
MBA,Civil,9.42,2,2023,"construction,autocad",Civil Engineer
MBA,Data Science,7.77,1,2024,"ml,python",Data Scientist
BSc,EEE,8.19,1,2024,"circuits,power systems",Electrical Engineer
BTech,HR,5.84,1,2024,"recruitment,communication",Business Analyst
BSc,IT,7.25,7,2018,"css,react",Web Developer
MTech,AI/ML,5.67,3,2022,"deep learning,python",Software Engineer
MCA,HR,8.13,3,2022,"communication,recruitment",Business Analyst
MTech,EEE,7.72,3,2022,"circuits,power systems",Electrical Engineer
BSc,Mechanical,9.27,4,2021,"solidworks,design",Mechanical Engineer
MBA,IT,6.59,3,2022,"css,react",Web Developer
BSc,Civil,9.35,6,2019,"autocad,construction",Civil Engineer
MTech,Data Science,5.75,3,2022,"sql,ml",Software Engineer
MBA,CSE,7.09,0,2025,"python,sql",Web Developer
BSc,ECE,6.8,6,2019,"signals,embedded",Electrical Engineer
BTech,Civil,6.85,2,2023,"autocad,construction",Civil Engineer
MTech,AI/ML,8.62,7,2018,"python,deep learning",Data Scientist
MTech,Data Science,8.14,3,2022,"sql,python",Data Scientist
BSc,Mechanical,7.58,5,2020,"solidworks,design",Mechanical Engineer
BTech,CSE,9.49,1,2024,"java,sql",Software Engineer
BSc,IT,8.95,6,2019,"html,react",Software Engineer
BTech,Mechanical,8.96,6,2019,"design,solidworks",Mechanical Engineer
BTech,Civil,7.02,5,2020,"autocad,construction",Civil Engineer
BSc,Data Science,9.5,6,2019,"sql,python",Data Scientist
BTech,Civil,5.73,6,2019,"construction,autocad",Civil Engineer
BTech,IT,9.44,3,2022,"css,js",Software Engineer
MTech,Civil,5.72,2,2023,"autocad,construction",Civil Engineer
BSc,AI/ML,7.43,6,2019,"ml,python",Software Engineer
MCA,Mechanical,7.89,5,2020,"solidworks,design",Mechanical Engineer
MBA,AI/ML,7.73,6,2019,"python,ml",Data Scientist
MBA,CSE,7.53,4,2021,"sql,python",Web Developer
MCA,HR,7.89,7,2018,"recruitment,communication",Business Analyst
MCA,Data Science,8.81,5,2020,"sql,ml",Data Scientist
BSc,HR,5.68,6,2019,"recruitment,communication",Business Analyst
MTech,AI/ML,9.28,0,2025,"python,deep learning",Data Scientist
MCA,Data Science,6.22,1,2024,"statistics,python",Software Engineer
BTech,Data Science,7.15,7,2018,"statistics,ml",Software Engineer
MBA,HR,8.38,3,2022,"communication,recruitment",Business Analyst
MTech,Data Science,6.31,1,2024,"statistics,ml",Software Engineer
MCA,EEE,9.14,0,2025,"circuits,power systems",Electrical Engineer
MCA,Civil,8.9,0,2025,"construction,autocad",Civil Engineer
BSc,EEE,6.24,1,2024,"power systems,circuits",Electrical Engineer
MBA,Civil,7.29,3,2022,"autocad,construction",Civil Engineer
MTech,Civil,8.94,5,2020,"construction,autocad",Civil Engineer
BTech,ECE,9.04,6,2019,"c,embedded",Electrical Engineer
MTech,ECE,5.66,3,2022,"signals,c",Electrical Engineer
MCA,HR,7.72,6,2019,"communication,recruitment",Business Analyst
MTech,EEE,6.13,1,2024,"power systems,circuits",Electrical Engineer
BSc,ECE,8.86,7,2018,"signals,c",Electrical Engineer
MTech,Civil,7.14,7,2018,"construction,autocad",Civil Engineer
MBA,HR,6.74,7,2018,"communication,recruitment",Business Analyst
MBA,Mechanical,6.82,7,2018,"solidworks,design",Mechanical Engineer
MBA,EEE,8.64,6,2019,"circuits,power systems",Electrical Engineer
BSc,CSE,7.17,5,2020,"sql,python",Web Developer
BTech,Mechanical,8.92,2,2023,"solidworks,design",Mechanical Engineer
BSc,CSE,6.42,7,2018,"java,python",Web Developer
MTech,Data Science,7.26,4,2021,"sql,statistics",Software Engineer
BTech,CSE,5.89,3,2022,"python,dsa",Web Developer
BSc,IT,7.97,1,2024,"js,react",Web Developer
BSc,Civil,5.69,2,2023,"autocad,construction",Civil Engineer
BSc,Data Science,6.64,1,2024,"python,statistics",Software Engineer
BSc,Data Science,6.08,1,2024,"python,ml",Software Engineer
MBA,Data Science,8.8,2,2023,"sql,python",Data Scientist
MBA,IT,8.62,4,2021,"js,html",Software Engineer
BSc,ECE,7.09,0,2025,"signals,c",Electrical Engineer
MTech,Civil,9.53,3,2022,"autocad,construction",Civil Engineer
BTech,Mechanical,8.68,4,2021,"solidworks,design",Mechanical Engineer
BTech,ECE,6.14,0,2025,"c,embedded",Electrical Engineer
MCA,Civil,6.05,7,2018,"construction,autocad",Civil Engineer
BSc,CSE,6.72,4,2021,"dsa,python",Web Developer
MTech,Data Science,7.38,7,2018,"sql,statistics",Software Engineer
BSc,Mechanical,8.59,3,2022,"solidworks,design",Mechanical Engineer
BSc,Data Science,8.16,1,2024,"sql,statistics",Data Scientist
MBA,IT,8.19,7,2018,"html,js",Software Engineer
MCA,HR,5.53,7,2018,"communication,recruitment",Business Analyst
MTech,Civil,5.9,7,2018,"construction,autocad",Civil Engineer
BSc,Civil,9.44,2,2023,"construction,autocad",Civil Engineer
MTech,CSE,9.57,1,2024,"sql,java",Software Engineer
MCA,EEE,7.07,1,2024,"circuits,power systems",Electrical Engineer
BTech,EEE,8.13,1,2024,"circuits,power systems",Electrical Engineer
BSc,Data Science,9.41,5,2020,"statistics,sql",Data Scientist
MTech,CSE,6.13,4,2021,"sql,dsa",Web Developer
MTech,Civil,7.33,7,2018,"construction,autocad",Civil Engineer
BTech,CSE,5.78,4,2021,"sql,python",Web Developer
MCA,EEE,7.52,5,2020,"power systems,circuits",Electrical Engineer
MCA,AI/ML,7.11,2,2023,"python,ml",Software Engineer
MBA,Data Science,6.34,4,2021,"ml,python",Software Engineer
BTech,Mechanical,8.74,2,2023,"design,solidworks",Mechanical Engineer
MCA,Mechanical,6.93,4,2021,"solidworks,design",Mechanical Engineer
BSc,Data Science,5.96,2,2023,"statistics,sql",Software Engineer
BSc,Mechanical,7.13,4,2021,"design,solidworks",Mechanical Engineer
MTech,Mechanical,6.78,6,2019,"design,solidworks",Mechanical Engineer
MBA,EEE,7.43,7,2018,"circuits,power systems",Electrical Engineer
MCA,AI/ML,6.39,3,2022,"deep learning,python",Software Engineer
BSc,IT,5.99,2,2023,"html,css",Web Developer
MTech,EEE,5.87,4,2021,"power systems,circuits",Electrical Engineer
MBA,HR,8.75,0,2025,"recruitment,communication",Business Analyst
BTech,IT,9.56,2,2023,"js,react",Software Engineer
MBA,IT,5.68,1,2024,"html,js",Web Developer
MCA,Data Science,7.9,4,2021,"statistics,ml",Data Scientist
MTech,AI/ML,6.95,3,2022,"deep learning,ml",Software Engineer
BTech,ECE,8.95,2,2023,"c,embedded",Electrical Engineer
MTech,CSE,6.93,7,2018,"python,java",Web Developer
MCA,IT,5.91,4,2021,"js,react",Web Developer
BTech,EEE,5.72,1,2024,"circuits,power systems",Electrical Engineer
MTech,ECE,7.92,3,2022,"c,embedded",Electrical Engineer
BTech,ECE,7.15,5,2020,"c,signals",Electrical Engineer
MCA,HR,7.78,3,2022,"communication,recruitment",Business Analyst
MBA,Civil,8.71,6,2019,"autocad,construction",Civil Engineer
BTech,Mechanical,9.35,3,2022,"design,solidworks",Mechanical Engineer
BTech,Civil,9.14,3,2022,"construction,autocad",Civil Engineer
MBA,Civil,6.85,2,2023,"autocad,construction",Civil Engineer
BSc,ECE,9.6,1,2024,"signals,embedded",Electrical Engineer
MTech,ECE,8.67,3,2022,"signals,embedded",Electrical Engineer
MBA,CSE,6.53,1,2024,"python,dsa",Web Developer
MTech,IT,7.98,5,2020,"html,react",Web Developer
BTech,Data Science,6.56,1,2024,"python,ml",Software Engineer
BSc,Civil,5.57,4,2021,"construction,autocad",Civil Engineer
BSc,Data Science,9.18,0,2025,"python,ml",Data Scientist
MCA,EEE,6.63,0,2025,"circuits,power systems",Electrical Engineer
BTech,Data Science,9.0,5,2020,"python,sql",Data Scientist
BTech,ECE,8.36,7,2018,"c,embedded",Electrical Engineer
BSc,HR,6.58,6,2019,"recruitment,communication",Business Analyst
MTech,ECE,7.02,4,2021,"embedded,signals",Electrical Engineer
BTech,CSE,5.59,7,2018,"sql,java",Web Developer
BTech,IT,8.63,3,2022,"html,js",Software Engineer
MTech,HR,6.73,3,2022,"recruitment,communication",Business Analyst
BTech,CSE,8.85,0,2025,"dsa,java",Software Engineer
MTech,EEE,6.79,6,2019,"power systems,circuits",Electrical Engineer
BSc,AI/ML,5.86,3,2022,"python,ml",Software Engineer
BSc,Data Science,6.93,4,2021,"python,sql",Software Engineer
MCA,Data Science,7.49,7,2018,"sql,statistics",Software Engineer
BSc,IT,5.88,7,2018,"html,js",Web Developer
MBA,ECE,8.38,6,2019,"embedded,c",Electrical Engineer
MCA,Data Science,9.01,4,2021,"statistics,sql",Data Scientist
MCA,Mechanical,5.6,3,2022,"solidworks,design",Mechanical Engineer
MBA,Data Science,6.32,0,2025,"ml,statistics",Software Engineer
MBA,EEE,6.0,6,2019,"power systems,circuits",Electrical Engineer
BSc,Data Science,8.77,6,2019,"sql,ml",Data Scientist
MTech,HR,7.87,3,2022,"recruitment,communication",Business Analyst
MTech,Mechanical,9.01,1,2024,"design,solidworks",Mechanical Engineer
MCA,Mechanical,7.12,7,2018,"design,solidworks",Mechanical Engineer
BTech,EEE,5.63,2,2023,"circuits,power systems",Electrical Engineer
MTech,AI/ML,5.86,0,2025,"ml,deep learning",Software Engineer
MBA,HR,7.55,2,2023,"communication,recruitment",Business Analyst
MBA,HR,7.67,7,2018,"communication,recruitment",Business Analyst
MTech,HR,9.52,2,2023,"communication,recruitment",Business Analyst
MBA,IT,6.14,3,2022,"js,react",Web Developer
MTech,CSE,9.23,2,2023,"java,python",Software Engineer
BTech,EEE,9.5,2,2023,"power systems,circuits",Electrical Engineer
BTech,Civil,9.12,2,2023,"autocad,construction",Civil Engineer
MBA,Data Science,7.17,7,2018,"python,sql",Software Engineer
MCA,Civil,7.25,6,2019,"autocad,construction",Civil Engineer
BSc,Civil,6.96,1,2024,"construction,autocad",Civil Engineer
MCA,Data Science,5.97,6,2019,"ml,statistics",Software Engineer
MCA,HR,5.77,7,2018,"recruitment,communication",Business Analyst
BSc,HR,8.74,0,2025,"recruitment,communication",Business Analyst
MTech,HR,9.57,2,2023,"recruitment,communication",Business Analyst
BSc,EEE,6.66,6,2019,"power systems,circuits",Electrical Engineer
MCA,AI/ML,8.06,0,2025,"python,ml",Data Scientist
MBA,Data Science,7.54,5,2020,"sql,python",Data Scientist
BSc,AI/ML,7.27,6,2019,"deep learning,ml",Software Engineer
BSc,Data Science,7.85,5,2020,"sql,python",Data Scientist
MTech,EEE,9.14,0,2025,"power systems,circuits",Electrical Engineer
MCA,HR,5.88,4,2021,"recruitment,communication",Business Analyst
BTech,CSE,8.62,2,2023,"dsa,python",Software Engineer
MTech,ECE,6.3,0,2025,"c,embedded",Electrical Engineer
BTech,ECE,9.57,3,2022,"signals,embedded",Electrical Engineer
BSc,EEE,9.06,0,2025,"power systems,circuits",Electrical Engineer
BSc,CSE,7.01,6,2019,"python,java",Web Developer
MBA,IT,9.63,7,2018,"js,react",Software Engineer
BTech,HR,7.31,2,2023,"communication,recruitment",Business Analyst
MBA,CSE,8.78,1,2024,"python,java",Software Engineer
BSc,Mechanical,8.12,1,2024,"design,solidworks",Mechanical Engineer
BTech,CSE,8.42,4,2021,"python,sql",Software Engineer
MTech,AI/ML,9.26,7,2018,"deep learning,ml",Data Scientist
MTech,CSE,9.29,0,2025,"sql,java",Software Engineer
MBA,HR,6.36,1,2024,"recruitment,communication",Business Analyst
BSc,ECE,6.32,2,2023,"c,embedded",Electrical Engineer
MBA,Civil,7.64,7,2018,"autocad,construction",Civil Engineer
MTech,IT,6.46,6,2019,"html,js",Web Developer
BSc,EEE,9.14,0,2025,"circuits,power systems",Electrical Engineer
MBA,AI/ML,5.53,2,2023,"ml,python",Software Engineer
MCA,CSE,9.21,4,2021,"python,sql",Software Engineer
BTech,HR,6.42,3,2022,"communication,recruitment",Business Analyst
BSc,Mechanical,7.66,7,2018,"design,solidworks",Mechanical Engineer
MBA,ECE,9.64,1,2024,"c,signals",Electrical Engineer
BSc,CSE,5.56,6,2019,"dsa,java",Web Developer
MCA,Mechanical,7.41,0,2025,"solidworks,design",Mechanical Engineer
BSc,Civil,9.25,3,2022,"autocad,construction",Civil Engineer
MCA,HR,5.69,1,2024,"communication,recruitment",Business Analyst
MBA,AI/ML,8.86,5,2020,"ml,deep learning",Data Scientist
MTech,AI/ML,9.75,2,2023,"deep learning,ml",Data Scientist
MTech,Civil,8.36,3,2022,"construction,autocad",Civil Engineer
MCA,EEE,7.65,3,2022,"power systems,circuits",Electrical Engineer
BSc,ECE,6.29,7,2018,"signals,c",Electrical Engineer
MBA,EEE,6.25,0,2025,"power systems,circuits",Electrical Engineer
BSc,Data Science,9.62,0,2025,"statistics,python",Data Scientist
BTech,HR,6.87,6,2019,"recruitment,communication",Business Analyst
MBA,Mechanical,8.45,6,2019,"design,solidworks",Mechanical Engineer
MCA,Civil,5.6,4,2021,"construction,autocad",Civil Engineer
BTech,Civil,7.88,4,2021,"construction,autocad",Civil Engineer
MCA,Mechanical,9.15,1,2024,"design,solidworks",Mechanical Engineer
BTech,EEE,8.22,7,2018,"circuits,power systems",Electrical Engineer
MCA,ECE,9.5,6,2019,"embedded,signals",Electrical Engineer
MTech,EEE,7.41,2,2023,"circuits,power systems",Electrical Engineer
MTech,ECE,6.9,3,2022,"signals,c",Electrical Engineer
BTech,Mechanical,7.77,2,2023,"design,solidworks",Mechanical Engineer
MBA,Data Science,8.6,2,2023,"statistics,ml",Data Scientist
BTech,AI/ML,9.79,4,2021,"deep learning,python",Data Scientist
MCA,IT,7.14,1,2024,"react,css",Web Developer
BSc,Mechanical,7.63,4,2021,"solidworks,design",Mechanical Engineer
MTech,Civil,6.37,6,2019,"construction,autocad",Civil Engineer
MCA,Civil,8.32,3,2022,"construction,autocad",Civil Engineer
BTech,HR,9.18,3,2022,"communication,recruitment",Business Analyst
BTech,ECE,7.93,2,2023,"c,signals",Electrical Engineer
BTech,Data Science,6.54,6,2019,"ml,sql",Software Engineer
MTech,HR,6.15,0,2025,"communication,recruitment",Business Analyst
MCA,Data Science,7.9,1,2024,"python,ml",Data Scientist
MTech,CSE,7.56,3,2022,"python,sql",Web Developer
MCA,EEE,5.59,6,2019,"power systems,circuits",Electrical Engineer
MCA,EEE,8.48,5,2020,"power systems,circuits",Electrical Engineer
MTech,Mechanical,7.93,5,2020,"design,solidworks",Mechanical Engineer
BSc,Data Science,6.51,6,2019,"sql,statistics",Software Engineer
BTech,Mechanical,5.56,5,2020,"design,solidworks",Mechanical Engineer
MCA,Mechanical,9.68,4,2021,"solidworks,design",Mechanical Engineer
MCA,AI/ML,6.3,1,2024,"deep learning,ml",Software Engineer
MCA,Civil,6.15,5,2020,"construction,autocad",Civil Engineer
MCA,Mechanical,6.5,6,2019,"solidworks,design",Mechanical Engineer
BTech,Civil,9.11,2,2023,"autocad,construction",Civil Engineer
BSc,Civil,7.15,6,2019,"autocad,construction",Civil Engineer
MBA,Mechanical,5.86,0,2025,"solidworks,design",Mechanical Engineer
MTech,IT,6.22,2,2023,"js,css",Web Developer
BSc,EEE,6.18,2,2023,"power systems,circuits",Electrical Engineer
MBA,Data Science,9.18,1,2024,"sql,python",Data Scientist
MCA,IT,8.49,5,2020,"js,react",Software Engineer
MTech,IT,8.78,3,2022,"css,html",Software Engineer
MTech,IT,7.98,1,2024,"react,js",Web Developer
BSc,AI/ML,6.86,2,2023,"ml,python",Software Engineer
MCA,AI/ML,9.75,3,2022,"python,ml",Data Scientist
BTech,Mechanical,8.21,6,2019,"design,solidworks",Mechanical Engineer
MTech,AI/ML,8.49,1,2024,"python,ml",Data Scientist
MTech,HR,8.72,0,2025,"recruitment,communication",Business Analyst
BTech,CSE,8.44,6,2019,"java,sql",Software Engineer
BTech,IT,8.11,5,2020,"html,css",Software Engineer
MTech,HR,9.21,3,2022,"recruitment,communication",Business Analyst
MTech,HR,9.56,4,2021,"communication,recruitment",Business Analyst
MTech,CSE,7.17,7,2018,"java,python",Web Developer
MCA,CSE,8.94,7,2018,"python,dsa",Software Engineer
BTech,AI/ML,7.81,5,2020,"ml,deep learning",Data Scientist
MBA,IT,7.88,7,2018,"react,js",Web Developer
MCA,IT,8.65,4,2021,"css,react",Software Engineer
MTech,EEE,6.28,1,2024,"circuits,power systems",Electrical Engineer
MTech,AI/ML,5.97,6,2019,"deep learning,python",Software Engineer
MCA,ECE,7.35,4,2021,"embedded,c",Electrical Engineer
BSc,Data Science,6.71,7,2018,"statistics,ml",Software Engineer
MTech,EEE,5.6,4,2021,"power systems,circuits",Electrical Engineer
BSc,IT,6.89,3,2022,"html,js",Web Developer
MBA,CSE,7.39,2,2023,"java,sql",Web Developer
BSc,Mechanical,9.44,5,2020,"design,solidworks",Mechanical Engineer
BTech,CSE,7.61,5,2020,"python,java",Web Developer
MCA,Civil,5.6,7,2018,"construction,autocad",Civil Engineer
BTech,ECE,6.6,4,2021,"c,signals",Electrical Engineer
BTech,Data Science,6.04,0,2025,"statistics,ml",Software Engineer
MTech,Civil,9.09,4,2021,"autocad,construction",Civil Engineer
MTech,IT,8.92,1,2024,"js,react",Software Engineer
MTech,AI/ML,7.25,0,2025,"python,ml",Software Engineer
BSc,HR,7.15,5,2020,"recruitment,communication",Business Analyst
MBA,HR,7.64,6,2019,"communication,recruitment",Business Analyst
BSc,EEE,5.9,1,2024,"power systems,circuits",Electrical Engineer
BSc,ECE,7.65,7,2018,"embedded,c",Electrical Engineer
MCA,HR,9.33,0,2025,"recruitment,communication",Business Analyst
BTech,HR,9.77,2,2023,"communication,recruitment",Business Analyst
BSc,Civil,7.85,6,2019,"autocad,construction",Civil Engineer
BTech,Civil,5.76,5,2020,"construction,autocad",Civil Engineer
MBA,Mechanical,9.39,7,2018,"solidworks,design",Mechanical Engineer
MCA,CSE,7.05,1,2024,"python,java",Web Developer
MCA,ECE,6.16,5,2020,"signals,embedded",Electrical Engineer
BTech,Data Science,8.8,1,2024,"python,statistics",Data Scientist
BTech,IT,7.4,1,2024,"css,react",Web Developer
MCA,EEE,8.04,2,2023,"power systems,circuits",Electrical Engineer
MTech,IT,6.31,0,2025,"html,css",Web Developer
BSc,Mechanical,7.23,0,2025,"design,solidworks",Mechanical Engineer
MCA,ECE,8.14,1,2024,"c,signals",Electrical Engineer
MTech,Data Science,8.93,2,2023,"python,statistics",Data Scientist
MCA,ECE,7.27,7,2018,"c,signals",Electrical Engineer
MBA,CSE,9.29,7,2018,"dsa,python",Software Engineer
BTech,AI/ML,8.14,1,2024,"ml,python",Data Scientist
BSc,Data Science,9.75,6,2019,"python,sql",Data Scientist
